Rest API Error Code
Error message	Error code	http status code
49053	can not bind other platforms	400
49060	The switch of adding money to cobo is not turned on	400
49061	The custody currency is not allowed	400
49062	fundId is invalid or not exist {0}	400
49063	The custody currency already exists	400
49064	Insufficient amount of shadow account	400
49065	User withdrawal address already exists	400
49066	The switch of cobo money reduction is not turned on	400
49067	fundSupplementId is invalid {0}	400
49068	No currency available for settlement	400
49069	There is an unfinished fund process, which cannot be cleared and settled	400
49070	Clearing settlement must include all currencies	400
49071	fundSettlementId is invalid {0}	400
49072	Failed to get user assets	400
49073	Confirm that the set of fundIds receivable for clearing and settlement is not all fundIds	400
49074	The settlement process has not been completed, and fund operations cannot be performed	400
49075	Failed to query the address list of bg clearing and settlement account	400
49076	cobo callback params error	400
49077	Failed to call the cobo transaction query interface	400
49078	cobo withdrawal transaction callback requestId is invalid {0}	400
49079	supplement type illegal	400
49080	cobo confirms settlement, txId is invalid	400
49081	Request amount parameter error	400
70020	Account does not exist	400
31057	user has not follow order	400
22011	It is not allowed to set auto add margin in cross mode	400
22012	There are different business lines, {0} does not belong to {1} product	400
22013	Abnormal status of position experience coupon	400
22014	This position experience coupon does not exist	400
22015	This user has no position experience coupon sub-account	400
22016	This user is not a sub-account for position experience coupons and cannot operate experience coupons	400
22017	The position experience coupon does not support this tokenId	400
22018	The face value of the position experience coupon is a negative number	400
22019	The position experience coupon has not expired yet	400
22020	The leverage multiple is the leverage multiple of the current position and cannot be adjusted.	400
22021	Limit orders are not supported when placing orders with position experience coupons	400
22022	The position experience coupon has been used	400
22023	The trial coupon for this position has expired	400
22024	The experience coupon for this position has been recycled	400
22025	Margin cannot be added to the experience coupon account	400
22026	The position mode cannot be adjusted for the experience coupon account	400
22027	The position experience coupon does not support this currency pair	400
22028	The position experience coupon does not support this type of order	400
40104	Based on your IP address , it appears that you are located in a country or region where we are currently unable to provide services	400
01002	{0} precision must be less than or equal to {1}	400
70006	Parameter value range verification failed: {0}	400
70007	Parameter verification failed: {0}, please make sure the time is within 30 days	400
70008	Parameter verification failed: {0}, please make sure the time is within 30 days	400
40172	traderId cannot be empty	400
40172	settings cannot be empty	400
40172	update trace setting cannot exceed 50	400
40172	maxHoldSize cannot be empty	400
40172	trackingNoList cannot be empty	400
40172	settingType cannot be empty	400
80001	illegal params	400
80002	system error	400
80003	Loan coin not exist	400
80004	Place coin not exist	400
80005	Place single minimum limit	400
80006	Place single Maximum limit	400
80007	Loan single minimum limit	400
80008	Loan single maximum limit	400
80009	Loan pool not enough	400
80010	place float exceed	400
80011	Order not exist	400
80012	Pledge not exist	400
80013	Extract exceed maximum limit	400
80014	Operate limit amount is {0} USDT	400
80015	Order count maximum limit	400
80016	Order status illegal	400
59001	Product does not exist	400
59002	Insufficient product balance	400
59003	This product is not available for purchase yet	400
59004	You are not a VIP and cannot purchase this product	400
59005	KYC verification not performed	400
59006	The country where KYC is located cannot apply for subscription	400
59007	Minimum limit for single currency subscription	400
59008	Maximum single currency subscription limit	400
59009	The subscription amount does not meet the step size verification	400
59010	The precision of the subscription amount cannot exceed {0} digits	400
59011	Insufficient balance	400
59012	Product does not exist	400
59013	Parameter exception: {0}	400
59014	Parameter precision exception	400
59015	The product is not online and cannot be purchased.	400
59016	The total position of a single person is exceeded	400
59017	Product subscription has been suspended	400
59018	The subscription start time has not been reached	400
59019	The subscription time range is {0} ~ {1}	400
59020	Minimum limit for single subscription	400
59021	Operation failed	400
59022	Insufficient balance	400
59023	Insufficient product remaining quota, remaining {0}	400
59024	Amount cannot be empty when redeeming current financial management	400
59025	orderId cannot be empty when redeeming regular financial management	400
59026	Product does not exist	400
59027	This product is a novice product. You are not a novice user. Please choose another product.	400
59028	Product hidden	400
59029	Product cannot be subscribe	400
59030	Exceeding the max amount for once subscribe	400
59031	Cannot perform redemption operation	400
59033	Less than redemption minimum limit	400
59034	The redemption amount accuracy cannot exceed {0} digits	400
59035	The redemption amount must be greater than the minimum limit	400
59036	Exceeded maximum single transaction limit	400
59037	The current order status does not allow operation	400
59038	Redemption is not allowed on the day of expiration	400
59039	Cannot perform redemption operation	400
59040	The redemption time range is {0}-{1}	400
59041	The accuracy of the subscription amount is not met	400
59042	Insufficient balance	400
59043	Insufficient product remaining quota, remaining {0} {1}	400
59044	Operations are frequent, please try again later.	400
59045	subscription time range is {0}~{1}	400
59046	Operation failed	400
59047	redemption time range is {0}-{1}	400
59048	fixed redemption not pass amount	400
59049	Product does not exist	400
40172	orderId cannot be empty	400
40172	repayAll cannot be empty	400
40172	repayAll illegal value	400
40172	daily illegal value	400
40172	daily cannot be empty	400
40172	loanCoin cannot be empty	400
40172	pledgeCoin cannot be empty	400
40172	reviseType cannot be empty	400
40172	reviseType illegal value	400
70101	illegal parameter	400
70102	Parameter verification failed-brokerUserId	400
70103	Parameter verification failed-startTime	400
70104	Parameter verification failed-endTime	400
40172	coinNameList length should be in 1-100	400
40172	symbolList length should be in 1-100	400
40172	transferType not empty	400
40172	dest not empty	400
40172	symbolList length should be in 1-100	400
40172	productType not empty	400
40172	symbolList not empty	400
40172	planType not empty	400
40172	planType Illegal type	400
40172	The price cannot be less than or equal to 0	400
40172	newTriggerPrice not empty	400
40172	The triggerPrice cannot be less than or equal to 0	400
40172	newTriggerType not empty	400
40172	followerUid not empty	400
19000	operation failed	400
40074	{0} MatchRunServer not exist	400
40078	Timestamp for this request is outside of the ME receiveWindow.	400
40079	receiveWindow timestamp must be less than 60s	400
20002	{0} Only one is allowed to be passed	400
40928	Risk control, currently your max open size is {0} {1}. The size was calculated with all the main-sub accounts	400
22029	Risk control, you can currently open a maximum position of {0} {1}. The risk control proportion limit for a uid is calculated including all main accounts and sub-accounts.	400
40929	TraderPro Maximum leverage is {0}X	400
22030	{0} Demo trading mode，can not use:{1}	400
40930	The remaining quantity for your normal order is {0}{1}, and the quantity for post only order is {2}{3}	400
40931	Trigger the risk control of position closing , prohibiting position closing	400
22034	Less than the minimum order amount	400
22035	Demo account open position too frequently	400
22036	API limits opening positions	400
22037	API limits closing positions	400
22038	Please enter the quantity as an integral multiple of {0}	400
22039	Limit open position when delivery is approaching.	400
22040	Limit open order when delivery is approaching.	400
22041	Limit close order when delivery is approaching.	400
22042	When a one-way position is held, trigger order cannot only reduce positions.	400
22043	ADL processing，{0} is limit close position	400
22044	ADL processing，cannot flash close Position	400
22045	Insufficient liquidity in the market, please operate later	400
22067	ADL processing，forbid operate the symbol:{0}	400
